iter 815: loss 28.25658697248026, worst_drop 0.020469508027651573, total_drop_violation 0.0017580312848612112, tsv_count 2808.078369140625
iter 816: loss 28.43988101952617, worst_drop 0.02075666510143448, total_drop_violation 0.0029281681054179297, tsv_count 2814.70654296875
iter 817: loss 28.710328427048353, worst_drop 0.02096720480508041, total_drop_violation 0.005198872954565562, tsv_count 2819.044189453125
iter 818: loss 29.10185059982101, worst_drop 0.021018288575473165, total_drop_violation 0.008314858384684688, tsv_count 2827.03662109375
iter 819: loss 39.628630007268896, worst_drop 0.028384443995269626, total_drop_violation 0.11497875536443702, tsv_count 2813.075439453125
iter 820: loss 28.08446270021446, worst_drop 0.020134597400093823, total_drop_violation 0.00013459740009382284, tsv_count 2807.100341796875
iter 821: loss 28.38414099996955, worst_drop 0.02032211382480087, total_drop_violation 0.0009453490560919799, tsv_count 2828.960693359375
iter 822: loss 28.296586990356445, worst_drop 0.0199602141080355, total_drop_violation 0.0, tsv_count 2829.65869140625
iter 823: loss 28.952781578129212, worst_drop 0.022269327294431318, total_drop_violation 0.009649085007366338, tsv_count 2798.787353515625
iter 824: loss 28.887111091375345, worst_drop 0.021367013968733972, total_drop_violation 0.008394521710872588, tsv_count 2804.765869140625
iter 825: loss 28.712602666211442, worst_drop 0.020773398776251284, total_drop_violation 0.006272373708012868, tsv_count 2808.53662109375
iter 826: loss 28.096950406686563, worst_drop 0.020118752204581147, total_drop_violation 0.0002805888141800793, tsv_count 2806.88916015625
iter 827: loss 28.32108594134044, worst_drop 0.020380234114562912, total_drop_violation 0.0007207776262950008, tsv_count 2824.90087890625
iter 828: loss 28.11169406582289, worst_drop 0.02021140782131481, total_drop_violation 0.0002114078213148081, tsv_count 2809.055419921875
iter 829: loss 29.647070283524137, worst_drop 0.022499105175929568, total_drop_violation 0.013822559066930806, tsv_count 2826.4814453125
iter 830: loss 28.810260480097355, worst_drop 0.021752660198558926, total_drop_violation 0.007372509891305588, tsv_count 2807.301025390625
iter 831: loss 32.1692424458382, worst_drop 0.02405110990786563, total_drop_violation 0.04356113020789371, tsv_count 2781.31298828125
iter 832: loss 29.466721238831703, worst_drop 0.02259375908970973, total_drop_violation 0.01347267808655921, tsv_count 2811.9453125
iter 833: loss 32.81650178659968, worst_drop 0.024396121953493277, total_drop_violation 0.047581750654082766, tsv_count 2805.832763671875
iter 834: loss 32.28284756778818, worst_drop 0.025063163533207256, total_drop_violation 0.04255147143593842, tsv_count 2802.77001953125
iter 835: loss 27.931886355428777, worst_drop 0.02018069773195441, total_drop_violation 0.0003461615279205868, tsv_count 2789.72705078125
iter 836: loss 28.198410458753557, worst_drop 0.020767084834700467, total_drop_violation 0.002312569095592215, tsv_count 2796.71533203125
iter 837: loss 30.196641144438157, worst_drop 0.022177859756854823, total_drop_violation 0.02134005722685228, tsv_count 2806.263671875
iter 838: loss 27.98885357952418, worst_drop 0.020163447972751602, total_drop_violation 0.00021711474421640814, tsv_count 2796.71435546875
iter 839: loss 28.36518634731941, worst_drop 0.020696974391259837, total_drop_violation 0.0020709194119147983, tsv_count 2815.8095703125
iter 840: loss 28.303178973169747, worst_drop 0.021014356383339594, total_drop_violation 0.0028821582314533176, tsv_count 2801.496337890625
iter 841: loss 33.22398054787278, worst_drop 0.02400911304550024, total_drop_violation 0.052004362363493414, tsv_count 2802.3544921875
iter 842: loss 28.40921139308381, worst_drop 0.021320062850186505, total_drop_violation 0.004322006661550994, tsv_count 2797.701171875
iter 843: loss 28.111408446269554, worst_drop 0.020585442266091714, total_drop_violation 0.0010336134238771756, tsv_count 2800.8046875
iter 844: loss 28.073642687696253, worst_drop 0.02014175756314418, total_drop_violation 0.000252494381845339, tsv_count 2804.83935546875
iter 845: loss 28.70250893793124, worst_drop 0.021504854938843576, total_drop_violation 0.007187938805581922, tsv_count 2798.37158203125
iter 846: loss 27.725036187426674, worst_drop 0.020024943783446436, total_drop_violation 2.494378344643569e-05, tsv_count 2772.254150390625
iter 847: loss 28.771381969438583, worst_drop 0.02146532413760549, total_drop_violation 0.00637173290239363, tsv_count 2813.4208984375
iter 848: loss 28.93089481053923, worst_drop 0.021446829554907842, total_drop_violation 0.011369304245528993, tsv_count 2779.396484375
iter 849: loss 30.916431923626394, worst_drop 0.022979181912687663, total_drop_violation 0.0310814144205901, tsv_count 2780.8291015625
iter 850: loss 28.7264834104352, worst_drop 0.021422605753698365, total_drop_violation 0.010123148618512177, tsv_count 2771.4169921875
iter 851: loss 27.85906117085959, worst_drop 0.0205262097253327, total_drop_violation 0.0005842678670431659, tsv_count 2780.0634765625
iter 852: loss 28.10173103783808, worst_drop 0.020777438052931196, total_drop_violation 0.0031904098962030683, tsv_count 2778.26904296875
iter 853: loss 29.32942591221219, worst_drop 0.023139663824605194, total_drop_violation 0.015714188626516433, tsv_count 2775.80078125
iter 854: loss 28.131252789415, worst_drop 0.020956671143765315, total_drop_violation 0.0010230114451754112, tsv_count 2802.895263671875
iter 855: loss 29.94881599487074, worst_drop 0.021598104133388363, total_drop_violation 0.01918636017453746, tsv_count 2803.01806640625
iter 856: loss 28.518147343045317, worst_drop 0.021638031589319873, total_drop_violation 0.008560532268343808, tsv_count 2766.20947265625
iter 857: loss 27.955574258183603, worst_drop 0.02096669729937517, total_drop_violation 0.0019238875708496896, tsv_count 2776.318603515625
iter 858: loss 29.72925024738884, worst_drop 0.02352307969360412, total_drop_violation 0.0188128119221306, tsv_count 2784.796875
iter 859: loss 28.945394786128283, worst_drop 0.022739482566986102, total_drop_violation 0.01191902430781604, tsv_count 2775.349365234375
iter 860: loss 28.193109152001384, worst_drop 0.020661513213693583, total_drop_violation 0.0014717638222599382, tsv_count 2804.59326171875
iter 861: loss 27.84413619394106, worst_drop 0.020244785542568478, total_drop_violation 0.0006692214364809358, tsv_count 2777.721435546875
iter 862: loss 27.992396903563204, worst_drop 0.02035115330414483, total_drop_violation 0.0005307538561886843, tsv_count 2793.93212890625
iter 863: loss 28.523367750648852, worst_drop 0.022088495026744148, total_drop_violation 0.007557057023090091, tsv_count 2776.766357421875
iter 864: loss 29.6046754466628, worst_drop 0.02313958357994883, total_drop_violation 0.017684842692946342, tsv_count 2783.619140625
iter 865: loss 32.02458122471015, worst_drop 0.025079715456915896, total_drop_violation 0.040308907339874925, tsv_count 2799.369140625
iter 866: loss 27.818576018012767, worst_drop 0.020421096328381183, total_drop_violation 0.0008839527765632203, tsv_count 2773.01806640625
iter 867: loss 28.206916085757776, worst_drop 0.020720690907373496, total_drop_violation 0.003852169433017201, tsv_count 2782.169921875
iter 868: loss 27.833893093300222, worst_drop 0.020336776836889392, total_drop_violation 0.0008203342838323004, tsv_count 2775.18603515625
iter 869: loss 30.538439044955965, worst_drop 0.023555493637657077, total_drop_violation 0.027717154121434655, tsv_count 2776.67236328125
